iter	Passed	Remaining
0	58	5793
1	63	3114
2	70	2274
3	75	1802
4	80	1532
5	84	1323
6	88	1172
7	91	1057
8	96	979
9	100	903
10	104	842
11	108	794
12	112	755
13	118	726
14	120	682
15	122	641
16	124	605
17	125	572
18	127	541
19	128	513
20	132	499
21	134	476
22	135	453
23	137	435
24	138	415
25	139	396
26	140	379
27	141	363
28	142	347
29	142	333
30	143	320
31	144	307
32	145	295
33	146	284
34	147	273
35	147	263
36	148	253
37	149	243
38	150	234
39	150	226
40	151	218
41	152	210
42	153	202
43	154	196
44	154	189
45	155	182
46	156	176
47	157	170
48	157	164
49	158	158
50	159	152
51	159	147
52	160	142
53	161	137
54	161	132
55	162	127
56	163	123
57	163	118
58	164	114
59	165	110
60	166	106
61	166	102
62	167	98
63	168	94
64	168	90
65	169	87
66	170	83
67	171	80
68	171	77
69	172	73
70	173	70
71	174	67
72	174	64
73	175	61
74	176	58
75	177	55
76	177	53
77	178	50
78	179	47
79	179	44
80	180	42
81	181	39
82	181	37
83	182	34
84	183	32
85	183	29
86	184	27
87	185	25
88	186	22
89	186	20
90	187	18
91	188	16
92	188	14
93	189	12
94	190	10
95	190	7
96	191	5
97	192	3
98	192	1
99	193	0
